hour,week_day,id_day_type,day_hour,appliance_electricity_dpt1,hot_water_dpt1,occupancy_dpt1,ventilation_supply_temperature_dpt1,appliance_electricity_dpt2,hot_water_dpt2,occupancy_dpt2,ventilation_supply_temperature_dpt2,appliance_electricity_dpt3,hot_water_dpt3,occupancy_dpt3,ventilation_supply_temperature_dpt3,appliance_electricity_dpt4,hot_water_dpt4,occupancy_dpt4,ventilation_supply_temperature_dpt4,appliance_electricity_dpt5,hot_water_dpt5,occupancy_dpt5,ventilation_supply_temperature_dpt5,appliance_electricity_dpt6,hot_water_dpt6,occupancy_dpt6,ventilation_supply_temperature_dpt6,appliance_electricity_dpt7,hot_water_dpt7,occupancy_dpt7,ventilation_supply_temperature_dpt7,appliance_electricity_dpt8,hot_water_dpt8,occupancy_dpt8,ventilation_supply_temperature_dpt8,appliance_electricity_dpt9,hot_water_dpt9,occupancy_dpt9,ventilation_supply_temperature_dpt9,appliance_electricity_dpt10,hot_water_dpt10,occupancy_dpt10,ventilation_supply_temperature_dpt10,appliance_electricity_dpt11,hot_water_dpt11,occupancy_dpt11,ventilation_supply_temperature_dpt11,appliance_electricity_dpt12,hot_water_dpt12,occupancy_dpt12,ventilation_supply_temperature_dpt12,appliance_electricity_dpt13,hot_water_dpt13,occupancy_dpt13,ventilation_supply_temperature_dpt13,appliance_electricity_dpt14,hot_water_dpt14,occupancy_dpt14,ventilation_supply_temperature_dpt14
11,2,1,11,94.66452817,11887.6,0,19.658955,410.2129554,11887.6,0,19.658955,144.5251322,11887.6,0,19.658955,581.6503954,11887.6,0,19.658955,96.16452817,11887.6,0,19.658955,411.7129554,11887.6,0,19.658955,9037.882669,31.609,1,19,10660.73225,31.609,1,16,10737.56436,31.609,1,19,10749.52615,31.609,1,16,5618.64328,31.609,1,19,7973.693964,31.609,1,16,8717.541032,31.609,1,19,10229.51117,31.609,1,16
12,2,1,12,94.66452817,11111.6,0,19.724724,410.2129554,11111.6,0,19.724724,144.5251322,11111.6,0,19.724724,581.6503954,11111.6,0,19.724724,96.16452817,11111.6,0,19.724724,411.7129554,11111.6,0,19.724724,9038.178829,31.3681,1,19,10661.27365,31.3681,0,16,10737.86052,31.3681,1,19,10750.06755,31.3681,0,16,5178.037519,31.3681,1,19,7108.019075,31.3681,0,16,7657.155721,31.3681,1,19,8235.927679,31.3681,0,16
13,2,1,13,1450.340634,10852.9,1,19.740668,6259.604406,10852.9,1,19.740668,1458.679776,10852.9,1,19.740668,6262.877846,10852.9,1,19.740668,1413.071504,10852.9,1,19.740668,6091.582283,10852.9,1,19.740668,9033.144107,30.6883,0,19,10652.06985,30.6883,1,16,10732.8258,30.6883,0,19,10740.86375,30.6883,1,16,4291.198955,30.6883,0,19,7618.545045,30.6883,1,16,5530.758056,30.6883,0,19,9423.198812,30.6883,1,16
14,2,1,14,183.6390907,10852.9,0,19.712766,770.564384,10852.9,0,19.712766,191.9782322,10852.9,0,19.712766,773.837824,10852.9,0,19.712766,120.5172441,10852.9,0,19.712766,506.3776082,10852.9,0,19.712766,9023.074663,30.1743,0,19,10633.66224,30.1743,1,16,10722.75636,30.1743,0,19,10722.45614,30.1743,1,16,4722.031433,30.1743,0,19,7946.623955,30.1743,1,16,6581.370084,30.1743,0,19,10202.44116,30.1743,1,16
15,2,1,15,94.66452817,9818.32,0,19.627067,410.2129554,9818.32,0,19.627067,144.5251322,9818.32,0,19.627067,581.6503954,9818.32,0,19.627067,96.16452817,9818.32,0,19.627067,411.7129554,9818.32,0,19.627067,9009.155138,29.3384,1,19,10608.21643,29.3384,1,16,10708.83683,29.3384,1,19,10697.01033,29.3384,1,16,5589.91575,29.3384,1,19,7921.178146,29.3384,1,16,8688.813502,29.3384,1,19,10176.99535,29.3384,1,16
16,2,1,16,94.66452817,8783.7,0,19.485564,410.2129554,8783.7,0,19.485564,144.5251322,8783.7,0,19.485564,581.6503954,8783.7,0,19.485564,96.16452817,8783.7,0,19.485564,411.7129554,8783.7,0,19.485564,31489.34311,27.6442,1,19,28259.02989,27.6442,1,16,21716.57686,27.6442,1,19,19332.10322,27.6442,1,16,12188.63656,27.6442,1,19,13091.40588,27.6442,1,16,14667.75476,27.6442,1,19,14896.05964,27.6442,1,16
17,2,1,17,94.66452817,7749.07,0,19.334096,410.2129554,7749.07,0,19.334096,144.5251322,7749.07,0,19.334096,581.6503954,7749.07,0,19.334096,96.16452817,7749.07,0,19.334096,411.7129554,7749.07,0,19.334096,31476.0159,25.6679,0,19,28234.66688,25.6679,1,16,21703.24965,25.6679,0,19,19307.74021,25.6679,1,16,9970.799751,25.6679,0,19,13067.04287,25.6679,1,16,11830.1384,25.6679,0,19,14871.69663,25.6679,1,16
18,2,1,18,1699.628594,11370.2,0,19.194586,7239.032197,11370.2,0,19.194586,1541.881886,11370.2,0,19.194586,6569.649637,11370.2,0,19.194586,1333.75597,11370.2,0,19.194586,5748.689627,11370.2,0,19.194586,31466.24262,24.3143,0,19,28216.80068,24.3143,1,16,21693.47637,24.3143,0,19,19289.87401,24.3143,1,16,5552.007257,24.3143,0,19,13049.17666,24.3143,1,16,6171.786807,24.3143,0,19,14853.83043,24.3143,1,16
19,2,1,19,1981.819045,13698.1,1,19.098922,8461.857483,13698.1,1,19.098922,1824.072336,13698.1,1,19.098922,7792.474923,13698.1,1,19.098922,1694.946608,13698.1,1,19.098922,7282.929486,13698.1,1,19.098922,3341.278289,23.8443,0,19,28205.43127,23.8443,0,16,3341.278289,23.8443,0,19,19278.5046,23.8443,0,16,3341.278289,23.8443,0,19,10439.15839,23.8443,0,16,3341.278289,23.8443,0,19,11567.06699,23.8443,0,16
20,2,1,20,1716.082191,16284.7,1,19.164691,7310.331115,16284.7,1,19.164691,1558.335482,16284.7,1,19.164691,6640.948555,16284.7,1,19.164691,1429.209754,16284.7,1,19.164691,6131.403118,16284.7,1,19.164691,3337.132048,23.7206,0,19,28197.85167,23.7206,0,16,3337.132048,23.7206,0,19,19270.925,23.7206,0,16,3337.132048,23.7206,0,19,10431.57879,23.7206,0,16,3337.132048,23.7206,0,19,11559.48739,23.7206,0,16
